run_id,original_length,assembled_length,length_difference,optimization_time,best_fitness,num_colonies
1,10000,10000,0,4.75703501701355,10000,4
2,10000,10000,0,4.577037334442139,10000,4
3,10000,10000,0,4.967967748641968,10000,4
4,10000,10000,0,4.4829699993133545,10000,4
5,10000,10000,0,4.683955192565918,10000,4
6,10000,10000,0,4.872643232345581,10000,4
7,10000,10000,0,4.920599937438965,10000,4
8,10000,10000,0,4.803161382675171,10000,4
9,10000,10000,0,5.250998020172119,10000,4
10,10000,10000,0,5.212294578552246,10000,4
11,10000,10000,0,5.063036680221558,10000,4
12,10000,10000,0,5.634186506271362,10000,4
13,10000,10000,0,5.216055154800415,10000,4
14,10000,10000,0,4.92003321647644,10000,4
15,10000,10000,0,5.010042190551758,10000,4
16,10000,10000,0,4.815031051635742,10000,4
17,10000,10000,0,4.671223163604736,10000,4
18,10000,10000,0,4.517057418823242,10000,4
19,10000,10000,0,4.616997957229614,10000,4
20,10000,10000,0,4.7565436363220215,10000,4
