run_id,original_length,assembled_length,length_difference,optimization_time,best_fitness,num_colonies
1,1000,1000,0,0.6716344356536865,1000,4
2,1000,1000,0,0.6437075138092041,1000,4
3,1000,1000,0,0.6114284992218018,1000,4
4,1000,1000,0,0.612032413482666,1000,4
5,1000,1000,0,0.5920088291168213,1000,4
6,1000,1000,0,0.6039981842041016,1000,4
7,1000,1000,0,0.6313602924346924,1000,4
8,1000,1000,0,0.5920114517211914,1000,4
9,1000,1000,0,0.6044862270355225,1000,4
10,1000,1000,0,0.6109695434570312,1000,4
11,1000,1000,0,0.6182200908660889,1000,4
12,1000,1000,0,0.5969715118408203,1000,4
13,1000,1000,0,0.6085100173950195,1000,4
14,1000,1000,0,0.6009993553161621,1000,4
15,1000,1000,0,0.6049230098724365,1000,4
16,1000,1000,0,0.5889995098114014,1000,4
17,1000,1000,0,0.5879991054534912,1000,4
18,1000,1000,0,0.5979998111724854,1000,4
19,1000,1000,0,0.5850362777709961,1000,4
20,1000,1000,0,0.6010353565216064,1000,4
