run_id,original_length,assembled_length,length_difference,optimization_time,percent_match,edit_distance,num_reads,best_path_length
1,50000,50154,154,68.13898849487305,0.004,1528,661,50154
2,50000,50110,110,69.7569649219513,0.0,782,669,50110
3,50000,50310,310,70.9914972782135,0.0,1346,676,50310
4,50000,50230,230,70.18595337867737,0.0,7850,672,50230
5,50000,50000,0,67.09365630149841,100.0,0,657,50000
6,50000,50228,228,70.84393525123596,0.0,11302,674,50228
7,50000,50238,238,70.18594217300415,0.0,25927,673,50238
8,50000,50177,177,69.25741171836853,0.0,3855,668,50177
9,50000,50000,0,73.03829216957092,100.0,0,688,50000
10,50000,50281,281,70.46037864685059,0.0,5635,675,50281
11,50000,50142,142,65.98637199401855,0.0,11852,652,50142
12,50000,50046,46,70.87766361236572,0.0,254,676,50046
13,50000,50102,102,66.92151403427124,0.002,9924,657,50102
14,50000,50164,164,67.63899183273315,0.0,7452,660,50164
15,50000,50205,205,71.98661971092224,0.0,561,682,50205
16,50000,50128,128,67.86414384841919,0.0,1692,662,50128
17,50000,50100,100,69.72079873085022,0.0,698,672,50100
18,50000,50067,67,72.35380864143372,0.0,527,685,50067
19,50000,50266,266,68.0101170539856,0.0,5124,663,50266
20,50000,50037,37,67.81457185745239,0.0,25898,662,50037
