run_id,original_length,assembled_length,length_difference,optimization_time,best_fitness,num_colonies
1,1000,1000,0,0.7030041217803955,1000,4
2,1000,1000,0,0.6770341396331787,1000,4
3,1000,1000,0,0.66499924659729,1000,4
4,1000,1000,0,0.6649985313415527,1000,4
5,1000,1000,0,0.6680343151092529,1000,4
6,1000,1000,0,0.6692328453063965,1000,4
7,1000,1000,0,0.6600358486175537,1000,4
8,1000,1000,0,0.6779980659484863,1000,4
9,1000,1000,0,0.6760056018829346,1000,4
10,1000,1000,0,0.665999174118042,1000,4
11,1000,1000,0,0.6979973316192627,1000,4
12,1000,1000,0,0.6449997425079346,1000,4
13,1000,1000,0,0.6659660339355469,1000,4
14,1000,1000,0,0.6630344390869141,1000,4
15,1000,1000,0,0.6483066082000732,1000,4
16,1000,1000,0,0.6749989986419678,1000,4
17,1000,1000,0,0.7287168502807617,1000,4
18,1000,1000,0,0.6547913551330566,1000,4
19,1000,1000,0,0.6419985294342041,1000,4
20,1000,1000,0,0.7300331592559814,1000,4
