run_id,original_length,assembled_length,length_difference,optimization_time
1,1000,1000,0,0.13551902770996094
2,1000,1000,0,0.12935280799865723
3,1000,1000,0,0.15662169456481934
4,1000,1000,0,0.13802886009216309
5,1000,1000,0,0.14803194999694824
6,1000,1000,0,0.13196468353271484
7,1000,1000,0,0.13903594017028809
8,1000,1000,0,0.13296842575073242
9,1000,1000,0,0.12999224662780762
10,1000,1000,0,0.14096784591674805
11,1000,1000,0,0.1270008087158203
12,1000,1000,0,0.12003660202026367
13,1000,1000,0,0.13100481033325195
14,1000,1000,0,0.13200998306274414
15,1000,1000,0,0.13796758651733398
16,1000,1000,0,0.13599872589111328
17,1000,1000,0,0.15303277969360352
18,1000,1000,0,0.13699865341186523
19,1000,1000,0,0.13000011444091797
20,1000,1000,0,0.13403797149658203
