run_id,original_length,assembled_length,length_difference,optimization_time,best_fitness,num_colonies
1,50000,50000,0,79.74203324317932,50000,4
2,50000,50000,0,74.96133017539978,50000,4
3,50000,50000,0,77.00500011444092,50000,4
4,50000,50000,0,74.25299835205078,50000,4
5,50000,50000,0,80.71400094032288,50000,4
6,50000,50000,0,75.6869912147522,50000,4
7,50000,50033,33,80.38433933258057,50033,4
8,50000,50000,0,74.72703003883362,50000,4
9,50000,50000,0,78.19903898239136,50000,4
10,50000,50054,54,77.34300303459167,50054,4
11,50000,50103,103,70.39099025726318,50103,4
12,50000,50000,0,78.88403534889221,50000,4
13,50000,50000,0,76.0100347995758,50000,4
14,50000,50070,70,76.17838907241821,50070,4
15,50000,50000,0,76.91203236579895,50000,4
16,50000,50000,0,76.57103657722473,50000,4
17,50000,50044,44,78.21303653717041,50044,4
18,50000,50000,0,83.08707404136658,50000,4
19,50000,50000,0,74.25600481033325,50000,4
20,50000,50000,0,79.12903451919556,50000,4
