run_id,original_length,assembled_length,length_difference,optimization_time,percent_match,edit_distance,num_reads,best_path_length
1,10000,10000,0,3.5720014572143555,100.0,0,133,10000
2,10000,10000,0,3.432999849319458,100.0,0,132,10000
3,10000,10000,0,3.67496919631958,100.0,0,136,10000
4,10000,10000,0,3.798999547958374,100.0,0,129,10000
5,10000,10000,0,3.6020009517669678,100.0,0,132,10000
6,10000,10000,0,3.819995880126953,100.0,0,138,10000
7,10000,10057,57,3.671994924545288,0.0,1317,135,10057
8,10000,10000,0,3.39599871635437,100.0,0,130,10000
9,10000,10065,65,3.592000722885132,0.01,235,136,10065
10,10000,10000,0,3.364032745361328,100.0,0,131,10000
11,10000,10000,0,3.400036096572876,100.0,0,132,10000
12,10000,10000,0,3.4189963340759277,100.0,0,133,10000
13,10000,10106,106,3.502969980239868,0.02,4146,135,10106
14,10000,10000,0,3.6569952964782715,100.0,0,139,10000
15,10000,10000,0,3.463000774383545,100.0,0,134,10000
16,10000,10000,0,3.3230273723602295,100.0,0,130,10000
17,10000,10000,0,3.5349996089935303,100.0,0,135,10000
18,10000,10000,0,3.7290329933166504,100.0,0,135,10000
19,10000,10069,69,3.6930317878723145,0.01,1455,138,10069
20,10000,10000,0,3.57200026512146,100.0,0,136,10000
